Name,Subtotal,Shipping,Taxes,Total,Created at,Billing City,Billing Zip,Billing Province,Billing Country
#2087,54.99,17,6.54,71.99,2017-03-29 09:55:02 +1100,Rosewood,'4340,QLD,AU
#1939,11.95,9.79,1.98,21.74,2016-12-12 18:32:09 +1100,Toowoomba,'4350,QLD,AU
#1937,32.99,10.3,3.94,43.29,2016-12-12 14:38:49 +1100,Rangeville,'4350,QLD,AU
#1801,7.99,9.79,1.62,17.78,2016-11-22 23:52:08 +1100,Toowoomba,'4350,QLD,AU
#1044,59.9,11.75,6.51,71.65,2014-12-08 16:28:28 +1100,TOOWOOMBA,'4350,QLD,AU
#1866,40.98,14.45,5.04,55.43,2016-12-03 22:18:16 +1100,Kingsthorpe,'4400,QLD,AU
#1941,48.97,14.45,5.77,63.42,2016-12-12 21:18:21 +1100,Condamine,'4416,QLD,AU
#1554,7.8,8,1.44,15.8,2016-07-23 19:43:02 +1000,Roma,'4455,QLD,AU
#2039,7.99,9.79,1.62,17.78,2017-02-23 23:18:29 +1100,Blackall,'4472,QLD,AU
#1338,40.89,13.05,4.9,53.94,2015-12-07 15:29:30 +1100,Birdsville,'4482,QLD,AU
#1013,19.95,15,3.18,34.95,2014-10-18 21:29:28 +1100,Eulo,'4491,QLD,AU
#1770,25.99,9.79,3.25,35.78,2016-11-15 19:22:10 +1100,Strathpine,'4500,QLD,AU
#1708,49.97,8,5.27,57.97,2016-10-14 12:19:36 +1100,Brisbane,'4500,QLD,AU
#1699,18.99,10.3,2.66,29.29,2016-10-06 21:18:18 +1100,Warner,'4500,QLD,AU
#1498,19.99,16.65,3.33,36.64,2016-06-14 10:20:19 +1000,Brisbane,'4500,QLD,AU
#1211,19.95,8,2.54,27.95,2015-09-30 17:49:46 +1000,Brendale,'4500,QLD,AU
#2101,27.98,17,4.09,44.98,2017-04-12 21:13:33 +1000,Griffin,'4503,QLD,AU
#1475,70.78,14.45,7.75,85.23,2016-05-30 16:34:17 +1000,Kallangur,'4503,QLD,AU
#1086,7.45,25,2.95,32.45,2015-03-04 14:57:34 +1100,Burpengary,'4505,QLD,AU
#1782,21.99,9.79,2.89,31.78,2016-11-19 11:32:10 +1100,Caboolture South,'4506,QLD,AU
#1315,139.22,30,15.38,169.22,2015-12-01 12:22:44 +1100,MORAYFIELD,'4506,QLD,AU
#1845,27.88,14.45,3.85,42.33,2016-11-30 15:11:44 +1100,Bongaree,'4507,QLD,AU
#1432,67.44,16.25,7.61,83.69,2016-03-08 14:04:13 +1100,North lakes,'4509,QLD,AU
#1367,59.9,13.05,6.63,72.95,2015-12-14 20:03:09 +1100,Toorbul,'4510,QLD,AU
#1354,24.99,14.45,3.59,39.44,2015-12-10 23:18:58 +1100,Wamuran,'4512,QLD,AU
#1240,60.59,14.45,6.82,75.04,2015-10-26 16:06:21 +1100,Elimbah,'4516,QLD,AU
#1330,39.9,16.25,5.1,56.15,2015-12-05 17:01:14 +1100,Glass House Mountains,'4518,QLD,AU
#1470,50.25,14.45,5.88,64.7,2016-05-24 21:40:22 +1000,Beerwah,'4519,QLD,AU
#1615,7.99,14,2,21.99,2016-08-29 16:10:19 +1000,Rush Creek,'4521,QLD,AU
#1883,19.99,9.79,2.71,29.78,2016-12-06 11:37:27 +1100,LITTLE MOUNTAIN,'4551,QLD,AU
#1266,140.72,30,15.52,170.72,2015-11-11 07:40:04 +1100,Pelican Waters,'4551,QLD,AU
#1204,82.8,25,9.8,107.8,2015-09-12 19:38:17 +1000,Pelican Waters,'4551,QLD,AU
#1962,62.13,14.45,6.96,76.58,2016-12-14 16:12:36 +1100,Glenview,'4553,QLD,AU
#1543,29.99,10.3,3.66,40.29,2016-07-16 12:58:40 +1000,Mooloolah,'4553,QLD,AU
#1541,29.99,8,3.45,37.99,2016-07-14 21:06:38 +1000,Buderim,'4556,QLD,AU
#1343,24.99,13.05,3.46,38.04,2015-12-09 17:07:39 +1100,BUDERIM,'4556,QLD,AU
#1871,36.97,13.05,4.55,50.02,2016-12-05 05:49:17 +1100,Bli Bli,'4560,QLD,AU
#2076,136.88,17,13.99,153.88,2017-03-22 21:04:37 +1100,Sunrise Beach,'4567,QLD,AU
#1905,45.99,14.45,5.49,60.44,2016-12-08 10:01:48 +1100,GYMPIE,'4570,QLD,AU
#1612,64.84,13.05,7.08,77.89,2016-08-28 15:58:09 +1000,Coolum Beach,'4573,QLD,AU
#1195,97.1,25,11.1,122.1,2015-08-27 12:16:35 +1000,Peregian Beach,'4573,QLD,AU
#1063,23.95,11.75,3.25,35.7,2015-01-12 11:57:37 +1100,Kingaroy,'4610,QLD,AU
#1630,7.3,12,1.75,19.3,2016-09-05 02:38:11 +1000,Bundaberg North,'4670,QLD,AU
#1366,48.94,13.05,5.64,61.99,2015-12-14 17:09:18 +1100,Miriam Vale,'4677,QLD,AU
#1992,88.96,17,9.63,105.96,2017-01-10 15:48:05 +1100,Calliope,'4680,QLD,AU
